Date,SKU,Product,Country,Region,Actuals
01-09-16,100018,Product K,AU,OC,10646
01-11-15,100018,Product K,AU,OC,12651
01-07-18,100018,Product K,AU,OC,3528
01-01-17,100018,Product K,AU,OC,4701
01-08-18,100018,Product K,AU,OC,3346
01-06-18,100018,Product K,AU,OC,3914
01-03-18,100018,Product K,AU,OC,4183
01-10-17,100018,Product K,AU,OC,5339
01-06-17,100018,Product K,AU,OC,5632
01-04-17,100018,Product K,AU,OC,5685
01-06-16,100018,Product K,AU,OC,13197
01-03-16,100018,Product K,AU,OC,9035
01-10-18,100018,Product K,AU,OC,2580
01-01-18,100018,Product K,AU,OC,4556
01-07-17,100018,Product K,AU,OC,5504
01-02-17,100018,Product K,AU,OC,9388
01-12-17,100018,Product K,AU,OC,5463
01-08-17,100018,Product K,AU,OC,5480
01-05-17,100018,Product K,AU,OC,10751
01-03-17,100018,Product K,AU,OC,9007
01-05-16,100018,Product K,AU,OC,4797
01-11-17,100018,Product K,AU,OC,5183
01-12-16,100018,Product K,AU,OC,6762
01-01-16,100018,Product K,AU,OC,9886
01-09-18,100018,Product K,AU,OC,4066
01-05-18,100018,Product K,AU,OC,0
01-09-17,100018,Product K,AU,OC,6135
01-10-16,100018,Product K,AU,OC,8059
01-04-16,100018,Product K,AU,OC,11237
01-02-16,100018,Product K,AU,OC,25172
01-02-18,100018,Product K,AU,OC,4757
01-11-16,100018,Product K,AU,OC,11590
01-08-16,100018,Product K,AU,OC,11168
01-07-16,100018,Product K,AU,OC,8613
01-12-15,100018,Product K,AU,OC,15872
01-02-16,100004,Product D,BE,EU,7725
01-12-16,100004,Product D,BE,EU,6702
01-08-18,100004,Product D,BE,EU,3259
01-03-16,100004,Product D,BE,EU,6693
01-07-16,100004,Product D,BE,EU,6516
01-08-16,100004,Product D,BE,EU,6191
01-10-16,100004,Product D,BE,EU,8572
01-07-17,100004,Product D,BE,EU,3267
01-03-17,100004,Product D,BE,EU,5536
01-11-17,100004,Product D,BE,EU,4198
01-12-17,100004,Product D,BE,EU,4808
01-10-18,100004,Product D,BE,EU,3768
01-04-18,100004,Product D,BE,EU,4669
01-05-17,100004,Product D,BE,EU,3428
01-11-16,100004,Product D,BE,EU,6079
01-01-18,100004,Product D,BE,EU,4335
01-12-15,100004,Product D,BE,EU,7802
01-11-15,100004,Product D,BE,EU,7128
01-06-16,100004,Product D,BE,EU,7211
01-09-17,100004,Product D,BE,EU,4838
01-03-18,100004,Product D,BE,EU,2805
01-08-17,100004,Product D,BE,EU,4568
01-01-17,100004,Product D,BE,EU,6315
01-06-18,100004,Product D,BE,EU,4170
01-09-16,100004,Product D,BE,EU,6702
01-05-16,100004,Product D,BE,EU,6798
01-06-17,100004,Product D,BE,EU,3922
01-02-17,100004,Product D,BE,EU,5938
01-04-16,100004,Product D,BE,EU,7111
01-01-16,100004,Product D,BE,EU,7601
01-04-17,100004,Product D,BE,EU,4954
01-09-18,100004,Product D,BE,EU,4025
01-05-18,100004,Product D,BE,EU,4202
01-02-18,100004,Product D,BE,EU,4391
01-10-17,100004,Product D,BE,EU,4958
01-07-18,100004,Product D,BE,EU,4680
01-12-15,100019,Product E,BE,EU,17
01-03-16,100019,Product E,BE,EU,17
01-08-17,100019,Product E,BE,EU,40
01-01-18,100019,Product E,BE,EU,62
01-07-18,100019,Product E,BE,EU,17
01-05-16,100019,Product E,BE,EU,25
01-09-16,100019,Product E,BE,EU,29
01-07-17,100019,Product E,BE,EU,25
01-06-17,100019,Product E,BE,EU,25
01-05-17,100019,Product E,BE,EU,36
01-12-16,100019,Product E,BE,EU,44
01-11-16,100019,Product E,BE,EU,44
01-12-17,100019,Product E,BE,EU,4
01-10-17,100019,Product E,BE,EU,40
01-09-18,100019,Product E,BE,EU,53
01-06-18,100019,Product E,BE,EU,57
01-08-18,100019,Product E,BE,EU,77
01-04-17,100019,Product E,BE,EU,17
01-03-18,100019,Product E,BE,EU,29
01-11-17,100019,Product E,BE,EU,25
01-02-16,100019,Product E,BE,EU,8
01-01-16,100019,Product E,BE,EU,0
01-11-15,100019,Product E,BE,EU,0
01-04-16,100019,Product E,BE,EU,29
01-10-16,100019,Product E,BE,EU,8
01-01-17,100019,Product E,BE,EU,17
01-10-18,100019,Product E,BE,EU,57
01-04-18,100019,Product E,BE,EU,40
01-06-16,100019,Product E,BE,EU,21
01-08-16,100019,Product E,BE,EU,21
01-07-16,100019,Product E,BE,EU,36
01-09-17,100019,Product E,BE,EU,8
01-02-17,100019,Product E,BE,EU,62
01-05-18,100019,Product E,BE,EU,36
01-02-18,100019,Product E,BE,EU,57
01-03-17,100019,Product E,BE,EU,40
01-03-16,100020,Product I,BE,EU,836
01-07-16,100020,Product I,BE,EU,1373
01-04-16,100020,Product I,BE,EU,915
01-04-17,100020,Product I,BE,EU,973
01-03-18,100020,Product I,BE,EU,977
01-11-17,100020,Product I,BE,EU,915
01-10-17,100020,Product I,BE,EU,1468
01-01-18,100020,Product I,BE,EU,960
01-02-16,100020,Product I,BE,EU,1410
01-06-17,100020,Product I,BE,EU,562
01-07-18,100020,Product I,BE,EU,1491
01-10-18,100020,Product I,BE,EU,1249
01-12-15,100020,Product I,BE,EU,1134
01-09-16,100020,Product I,BE,EU,1221
01-09-18,100020,Product I,BE,EU,781
01-01-16,100020,Product I,BE,EU,736
01-07-17,100020,Product I,BE,EU,1093
01-11-16,100020,Product I,BE,EU,941
01-12-17,100020,Product I,BE,EU,1129
01-06-18,100020,Product I,BE,EU,306
01-05-18,100020,Product I,BE,EU,1290
01-10-16,100020,Product I,BE,EU,1102
01-01-17,100020,Product I,BE,EU,1112
01-12-16,100020,Product I,BE,EU,864
01-11-15,100020,Product I,BE,EU,977
01-08-16,100020,Product I,BE,EU,1418
01-05-17,100020,Product I,BE,EU,1459
01-02-17,100020,Product I,BE,EU,787
01-03-17,100020,Product I,BE,EU,787
01-02-18,100020,Product I,BE,EU,1025
01-06-16,100020,Product I,BE,EU,1386
01-05-16,100020,Product I,BE,EU,1262
01-08-17,100020,Product I,BE,EU,1373
01-09-17,100020,Product I,BE,EU,776
01-08-18,100020,Product I,BE,EU,1423
01-04-18,100020,Product I,BE,EU,1065
01-03-16,100021,Product K,BE,EU,5628
01-02-16,100021,Product K,BE,EU,5613
01-07-17,100021,Product K,BE,EU,868
01-06-17,100021,Product K,BE,EU,1414
01-05-17,100021,Product K,BE,EU,1106
01-02-17,100021,Product K,BE,EU,1724
01-12-17,100021,Product K,BE,EU,1664
01-07-16,100021,Product K,BE,EU,4834
01-09-17,100021,Product K,BE,EU,969
01-11-16,100021,Product K,BE,EU,2737
01-11-15,100021,Product K,BE,EU,5046
01-01-16,100021,Product K,BE,EU,4926
01-06-16,100021,Product K,BE,EU,5163
01-01-17,100021,Product K,BE,EU,2187
01-04-18,100021,Product K,BE,EU,1831
01-03-17,100021,Product K,BE,EU,1812
01-12-16,100021,Product K,BE,EU,3524
01-03-18,100021,Product K,BE,EU,1309
01-11-17,100021,Product K,BE,EU,410
01-04-17,100021,Product K,BE,EU,965
01-07-18,100021,Product K,BE,EU,2105
01-08-18,100021,Product K,BE,EU,2013
01-10-18,100021,Product K,BE,EU,1262
01-09-16,100021,Product K,BE,EU,4853
01-08-17,100021,Product K,BE,EU,1840
01-09-18,100021,Product K,BE,EU,1555
01-05-18,100021,Product K,BE,EU,1570
01-10-16,100021,Product K,BE,EU,4431
01-10-17,100021,Product K,BE,EU,370
01-04-16,100021,Product K,BE,EU,5302
01-01-18,100021,Product K,BE,EU,1519
01-02-18,100021,Product K,BE,EU,1767
01-12-15,100021,Product K,BE,EU,5073
01-05-16,100021,Product K,BE,EU,4889
01-08-16,100021,Product K,BE,EU,4949
01-06-18,100021,Product K,BE,EU,2122
01-05-16,100022,Product M,BE,EU,0
01-12-16,100022,Product M,BE,EU,6021
01-07-17,100022,Product M,BE,EU,9396
01-02-18,100022,Product M,BE,EU,10229
01-02-16,100022,Product M,BE,EU,0
01-11-16,100022,Product M,BE,EU,4757
01-04-16,100022,Product M,BE,EU,0
01-04-17,100022,Product M,BE,EU,8159
01-03-18,100022,Product M,BE,EU,9062
01-10-18,100022,Product M,BE,EU,13024
01-08-18,100022,Product M,BE,EU,7014
01-06-18,100022,Product M,BE,EU,10980
01-08-17,100022,Product M,BE,EU,8910
01-06-17,100022,Product M,BE,EU,9482
01-11-17,100022,Product M,BE,EU,9011
01-10-17,100022,Product M,BE,EU,7449
01-04-18,100022,Product M,BE,EU,8705
01-05-17,100022,Product M,BE,EU,6749
01-02-17,100022,Product M,BE,EU,7231
01-07-18,100022,Product M,BE,EU,3419
01-05-18,100022,Product M,BE,EU,9822
01-03-16,100022,Product M,BE,EU,0
01-07-16,100022,Product M,BE,EU,190
01-10-16,100022,Product M,BE,EU,1707
01-01-17,100022,Product M,BE,EU,6565
01-03-17,100022,Product M,BE,EU,7778
01-01-18,100022,Product M,BE,EU,10526
01-06-16,100022,Product M,BE,EU,0
01-09-16,100022,Product M,BE,EU,310
01-08-16,100022,Product M,BE,EU,1061
01-09-17,100022,Product M,BE,EU,7524
01-09-18,100022,Product M,BE,EU,8136
01-12-17,100022,Product M,BE,EU,9717
01-09-16,100022,Product M,BE,EU,2715
01-04-18,100022,Product M,BE,EU,1940
01-02-17,100022,Product M,BE,EU,29
01-01-18,100022,Product M,BE,EU,222
01-07-18,100022,Product M,BE,EU,7637
01-08-17,100022,Product M,BE,EU,8
01-10-17,100022,Product M,BE,EU,2041
01-10-18,100022,Product M,BE,EU,4
01-08-16,100022,Product M,BE,EU,686
01-10-16,100022,Product M,BE,EU,2454
01-06-17,100022,Product M,BE,EU,254
01-06-18,100022,Product M,BE,EU,85
01-03-18,100022,Product M,BE,EU,1001
01-02-18,100022,Product M,BE,EU,141
01-12-17,100022,Product M,BE,EU,286
01-07-17,100022,Product M,BE,EU,117
01-01-17,100022,Product M,BE,EU,246
01-12-16,100022,Product M,BE,EU,141
01-05-17,100022,Product M,BE,EU,896
01-05-18,100022,Product M,BE,EU,181
01-08-18,100022,Product M,BE,EU,3620
01-09-17,100022,Product M,BE,EU,361
01-11-16,100022,Product M,BE,EU,502
01-03-17,100022,Product M,BE,EU,498
01-11-17,100022,Product M,BE,EU,365
01-04-17,100022,Product M,BE,EU,121
01-09-18,100022,Product M,BE,EU,1712
01-10-18,100026,Product N,CH,EU,2773
01-11-17,100026,Product N,CH,EU,2274
01-10-17,100026,Product N,CH,EU,3869
01-09-17,100026,Product N,CH,EU,2852
01-08-17,100026,Product N,CH,EU,2471
01-07-17,100026,Product N,CH,EU,1309
01-09-18,100026,Product N,CH,EU,3103
01-08-18,100026,Product N,CH,EU,3896
01-12-17,100026,Product N,CH,EU,3291
01-06-17,100026,Product N,CH,EU,2719
01-06-18,100026,Product N,CH,EU,4006
01-02-18,100026,Product N,CH,EU,2326
01-07-18,100026,Product N,CH,EU,2458
01-04-18,100026,Product N,CH,EU,3145
01-03-18,100026,Product N,CH,EU,2981
01-05-17,100026,Product N,CH,EU,3507
01-05-18,100026,Product N,CH,EU,2580
01-01-18,100026,Product N,CH,EU,3892
01-09-17,100027,Product A,CH,EU,7549
01-07-17,100027,Product A,CH,EU,6766
01-12-15,100027,Product A,CH,EU,8219
01-08-18,100027,Product A,CH,EU,2966
01-07-18,100027,Product A,CH,EU,2687
01-06-18,100027,Product A,CH,EU,3804
01-08-17,100027,Product A,CH,EU,6790
01-01-17,100027,Product A,CH,EU,6777
01-08-16,100027,Product A,CH,EU,7074
01-05-18,100027,Product A,CH,EU,3965
01-04-17,100027,Product A,CH,EU,5906
01-05-16,100027,Product A,CH,EU,5754
01-03-16,100027,Product A,CH,EU,6597
01-11-15,100027,Product A,CH,EU,7586
01-09-18,100027,Product A,CH,EU,2416
01-04-18,100027,Product A,CH,EU,4468
01-07-16,100027,Product A,CH,EU,7858
01-12-17,100027,Product A,CH,EU,5557
01-05-17,100027,Product A,CH,EU,7014
01-03-17,100027,Product A,CH,EU,9574
